epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.892,1.11387,1.141,1.08937,0.81993,0.60693,0.6804,0.41637,1.45617,1.00083,1.17754,0.00332621,0.00332621,0.00332621
2,391.553,1.01801,0.73276,1.0369,0.79899,0.58449,0.67837,0.41842,1.4553,1.13571,1.21789,0.00659361,0.00659361,0.00659361
3,574.227,1.03858,0.75521,1.05414,0.82726,0.60039,0.6825,0.40632,1.46839,1.20579,1.26288,0.00979502,0.00979502,0.00979502
4,755.912,1.04621,0.76054,1.06781,0.80855,0.61855,0.69637,0.42125,1.53905,1.14205,1.28355,0.009703,0.009703,0.009703
5,937.906,1.00791,0.71483,1.05657,0.90093,0.62293,0.72697,0.46029,1.48103,1.09542,1.29382,0.009604,0.009604,0.009604
6,1119.82,0.9743,0.68107,1.03964,0.81238,0.64089,0.69044,0.44655,1.41856,0.99658,1.24716,0.009505,0.009505,0.009505
7,1301.26,0.93511,0.6481,1.02509,0.87942,0.63487,0.72167,0.45007,1.45548,1.01814,1.25676,0.009406,0.009406,0.009406
8,1482.78,0.92093,0.62957,1.01689,0.84917,0.64869,0.7358,0.48118,1.37568,0.97439,1.21011,0.009307,0.009307,0.009307
9,1664.75,0.9,0.61341,1.0086,0.88212,0.66706,0.76311,0.4997,1.3562,0.9217,1.22451,0.009208,0.009208,0.009208
10,1846.75,0.87645,0.59045,1.00009,0.86492,0.67029,0.74839,0.49232,1.39145,0.97236,1.24503,0.009109,0.009109,0.009109
11,2028.3,0.86539,0.58215,0.99575,0.85182,0.67848,0.77188,0.52449,1.26157,0.89904,1.19388,0.00901,0.00901,0.00901
12,2210.18,0.84358,0.56185,0.98504,0.85638,0.7023,0.78189,0.52818,1.29719,0.88275,1.18399,0.008911,0.008911,0.008911
13,2392.26,0.83238,0.55192,0.97752,0.85971,0.70731,0.78415,0.52711,1.29977,0.83889,1.18303,0.008812,0.008812,0.008812
