epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.463,3.6306,5.01082,3.9696,0.70323,0.11443,0.03326,0.01005,3.7426,3.74349,3.69429,0.00332621,0.00332621,0.00332621
2,424.868,2.26979,2.47622,2.41797,0.26601,0.28181,0.16119,0.06933,2.47377,2.59727,2.77254,0.00659361,0.00659361,0.00659361
3,622.094,1.78877,1.66889,1.8971,0.39993,0.42955,0.3259,0.11547,2.29063,2.11995,2.46199,0.00979502,0.00979502,0.00979502
4,834.671,1.52708,1.31712,1.65269,0.5807,0.46203,0.5043,0.27407,1.89231,1.76126,2.06518,0.009703,0.009703,0.009703
5,1043.05,1.34802,1.10714,1.50641,0.74387,0.48331,0.56914,0.31937,1.79912,1.59168,1.94694,0.009604,0.009604,0.009604
6,1236.26,1.26142,0.9954,1.42768,0.64048,0.53439,0.57698,0.34506,1.70177,1.51984,1.86792,0.009505,0.009505,0.009505
7,1427.65,1.19129,0.91934,1.37307,0.67908,0.54341,0.60286,0.34576,1.72389,1.48879,1.86768,0.009406,0.009406,0.009406
8,1620.69,1.14886,0.87312,1.33631,0.78614,0.58197,0.66356,0.39075,1.65673,1.34777,1.7692,0.009307,0.009307,0.009307
9,1813.52,1.11406,0.82844,1.31024,0.68858,0.5733,0.64384,0.33914,1.70572,1.3584,1.81369,0.009208,0.009208,0.009208
10,2008.97,1.07712,0.79174,1.28331,0.82897,0.60482,0.68586,0.42828,1.55634,1.26653,1.69652,0.009109,0.009109,0.009109
11,2200.92,1.05915,0.77251,1.26845,0.75347,0.55367,0.6311,0.38813,1.60417,1.32416,1.73311,0.00901,0.00901,0.00901
12,2392.3,1.03085,0.73903,1.24637,0.87027,0.59943,0.71315,0.44571,1.53352,1.14115,1.66249,0.008911,0.008911,0.008911
13,2582.75,1.01431,0.72646,1.23295,0.86623,0.61169,0.70967,0.44752,1.46701,1.14834,1.63146,0.008812,0.008812,0.008812
14,2786.2,0.99235,0.70337,1.21959,0.80255,0.56783,0.66175,0.42486,1.50819,1.2863,1.66315,0.008713,0.008713,0.008713
15,2992.79,0.98202,0.69205,1.21299,0.81952,0.60826,0.67536,0.42219,1.51389,1.20315,1.662,0.008614,0.008614,0.008614
16,3189.41,0.96696,0.67614,1.19809,0.80338,0.57746,0.7112,0.44003,1.53893,1.1557,1.6589,0.008515,0.008515,0.008515
17,3380.13,0.95139,0.66051,1.18966,0.86726,0.63159,0.70783,0.46773,1.45063,1.13831,1.60451,0.008416,0.008416,0.008416
18,3571.53,0.93563,0.64807,1.18062,0.86912,0.62008,0.71466,0.46517,1.44869,1.15694,1.61616,0.008317,0.008317,0.008317
19,3764.34,0.93101,0.64257,1.17513,0.84311,0.63806,0.71488,0.45197,1.42696,1.11561,1.56321,0.008218,0.008218,0.008218
20,3956.45,0.91685,0.62784,1.1632,0.84385,0.64699,0.74116,0.48768,1.36081,1.12519,1.54572,0.008119,0.008119,0.008119
21,4151.15,0.90345,0.61634,1.1513,0.89403,0.65398,0.7549,0.49367,1.37492,0.95308,1.5198,0.00802,0.00802,0.00802
22,4343.33,0.89399,0.61023,1.14629,0.84633,0.63753,0.7379,0.48873,1.36591,1.08476,1.55301,0.007921,0.007921,0.007921
23,4535.81,0.88479,0.60206,1.13752,0.86395,0.66322,0.75788,0.50329,1.36454,1.00914,1.53841,0.007822,0.007822,0.007822
